manufacturer,model_name,screen_size_inches,screen,cpu,ram_gb,storage,os,os_version,weight_kg,price_euros,gpu_manufacturer,cpu_manufacturer,screen_width_px,screen_high_px,cpu_speed_ghz
Dell,Inspiron 5379,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,1.62,819.0,Intel,Intel,1920,1080,1.6
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Windows,10,1.91,659.0,Intel,Intel,1920,1080,1.8
Dell,Inspiron 3567,15.6,1366x768,Intel Core i3 6006U 2GHz,4,1TB HDD,Windows,10,2.3,418.64,Intel,Intel,1366,768,2.0
Apple,MacBook Air,13.3,1440x900,Intel Core i5 1.6GHz,8,128GB Flash Storage,macOS,X,1.35,1099.0,Intel,Intel,1440,900,1.6
Dell,Inspiron 5570,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,2.2,800.0,AMD,Intel,1920,1080,1.6
Dell,Latitude 5590,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,8,256GB SSD +  256GB SSD,Windows,10,1.88,1298.0,Intel,Intel,1920,1080,1.9
HP,ProBook 470,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1TB HDD,Windows,10,2.5,896.0,Nvidia,Intel,1920,1080,1.6
Chuwi,"LapBook 15.6""",15.6,Full HD 1920x1080,Intel Atom x5-Z8300 1.44GHz,4,64GB Flash Storage,Windows,10,1.89,244.99,Intel,Intel,1920,1080,1.44
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),14.0,1366x768,AMD E-Series E2-6110 1.5GHz,2,32GB Flash Storage,Windows,10,1.65,199.0,AMD,AMD,1366,768,1.5
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,17.3,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,500GB HDD,Windows,10,2.71,439.0,AMD,AMD,1920,1080,2.5
Dell,XPS 13,13.3,Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Windows,10,1.2,1869.0,Intel,Intel,3200,1800,1.8
Apple,MacBook Air,13.3,1440x900,Intel Core i5 1.6GHz,8,256GB Flash Storage,macOS,X,1.35,998.0,Intel,Intel,1440,900,1.6
Lenovo,IdeaPad 120S-14IAP,14.0,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,64GB Flash Storage,Windows,10,1.44,249.0,Intel,Intel,1366,768,1.1
Acer,Aspire 3,15.6,1366x768,Intel Core i3 7130U 2.7GHz,4,1TB HDD,Linux,Version Unknown,2.1,367.0,Intel,Intel,1366,768,2.7
Dell,Inspiron 5770,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1TB HDD,Windows,10,2.8,979.0,AMD,Intel,1920,1080,1.6
HP,250 G6,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,1TB HDD,Windows,10,1.86,488.69,Intel,Intel,1366,768,2.5
HP,ProBook 450,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,2.1,879.0,Nvidia,Intel,1920,1080,1.6
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1TB HDD,Linux,Version Unknown,2.0,389.0,Intel,Intel,1920,1080,2.0
Dell,Inspiron 7577,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Windows,10,2.65,1499.0,Nvidia,Intel,1920,1080,2.8
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8,1TB HDD,Linux,Version Unknown,2.3,522.99,Nvidia,Intel,1366,768,2.5
Acer,Aspire A515-51G,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,256GB SSD,Windows,10,2.2,682.0,Intel,Intel,1920,1080,1.6
Dell,Inspiron 7773,17.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,12,1TB HDD,Windows,10,2.77,999.0,Nvidia,Intel,1920,1080,1.6
Apple,MacBook Pro,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.0GHz,8,256GB SSD,macOS,X,1.37,1419.0,Intel,Intel,2560,1600,2.0
Lenovo,IdeaPad 320-15ISK,15.6,1366x768,Intel Core i3 6006U 2GHz,4,128GB SSD,No OS,Version Unknown,2.2,369.0,Intel,Intel,1366,768,2.0
Asus,Rog Strix,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,8,256GB SSD +  1TB HDD,Windows,10,3.2,1299.0,AMD,AMD,1920,1080,3.0
Dell,Inspiron 3567,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,256GB SSD,Windows,10,2.3,639.0,AMD,Intel,1920,1080,2.5
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,17.3,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4,1TB HDD,Windows,10,2.8,466.0,Nvidia,Intel,1366,768,1.1
Lenovo,Yoga Book,10.1,IPS Panel Touchscreen 1920x1200,Intel Atom x5-Z8550 1.44GHz,4,64GB Flash Storage,Android,Version Unknown,0.69,319.0,Intel,Intel,1920,1200,1.44
Acer,Aspire A515-51G,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Windows,10,2.2,841.0,Nvidia,Intel,1920,1080,1.8
HP,255 G6,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,256GB SSD,Windows,10,1.86,398.49,AMD,AMD,1920,1080,2.5
HP,ProBook 430,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,512GB SSD,Windows,10,1.49,1103.0,Intel,Intel,1920,1080,1.8
Acer,Aspire 3,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4,1TB HDD,Windows,10,2.4,384.0,Intel,Intel,1366,768,2.4
Dell,Inspiron 3576,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Windows,10,2.13,767.8,AMD,Intel,1920,1080,1.8
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,128GB SSD,Windows,10,1.91,439.0,Intel,Intel,1920,1080,2.0
Asus,VivoBook Max,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,256GB SSD,Windows,10,2.0,586.19,Intel,Intel,1366,768,2.5
Micro-Star International,GS73VR 7RG,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  2TB HDD,Windows,10,2.43,2449.0,Nvidia,Intel,1920,1080,2.8
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256GB SSD,Linux,Version Unknown,2.0,415.0,Intel,Intel,1920,1080,2.0
Dell,Inspiron 5770,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,256GB SSD +  2TB HDD,Windows,10,2.8,1299.0,AMD,Intel,1920,1080,1.8
Dell,Vostro 5471,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,1.7,879.0,Intel,Intel,1920,1080,1.6
Lenovo,IdeaPad 520S-14IKB,14.0,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,8,256GB SSD,No OS,Version Unknown,1.7,599.0,Intel,Intel,1920,1080,2.7
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,1.4,941.0,Intel,Intel,1920,1080,1.6
HP,250 G6,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10,1.86,690.0,Intel,Intel,1920,1080,2.5
Asus,ZenBook Pro,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Windows,10,1.8,1983.0,Nvidia,Intel,1920,1080,2.8
HP,250 G6,15.6,1366x768,Intel Core i3 6006U 2GHz,4,500GB HDD,Windows,10,1.86,438.69,AMD,Intel,1366,768,2.0
HP,Stream 14-AX040wm,14.0,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4,32GB SSD,Windows,10,1.44,229.0,Intel,Intel,1366,768,1.6
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,1TB HDD,Windows,10,1.9,549.0,Intel,Intel,1920,1080,2.5
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12,1TB HDD,Linux,Version Unknown,3.0,949.0,Nvidia,Intel,1920,1080,2.8
Microsoft,Surface Laptop,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,4,128GB SSD,Windows,10 S,1.252,1089.0,Intel,Intel,2256,1504,2.5
Dell,Inspiron 5370,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Windows,10,1.4,955.0,AMD,Intel,1920,1080,1.8
Dell,Inspiron 5570,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Windows,10,2.2,870.0,AMD,Intel,1920,1080,1.8
Micro-Star International,GL72M 7RDX,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,Windows,10,2.7,1095.0,Nvidia,Intel,1920,1080,2.5
Acer,Aspire E5-475,14.0,1366x768,Intel Core i3 6006U 2GHz,8,1TB HDD,Windows,10,2.1,389.0,Intel,Intel,1366,768,2.0
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1TB HDD,Windows,10,2.2,949.0,Nvidia,Intel,1920,1080,2.8
Lenovo,IdeaPad 320-15IKBN,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,2TB HDD,No OS,Version Unknown,2.2,519.0,Intel,Intel,1920,1080,2.5
Dell,Inspiron 5570,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128GB SSD +  1TB HDD,Windows,10,2.02,855.0,Intel,Intel,1920,1080,1.8
Acer,Aspire A515-51G-32MX,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4,1TB HDD,Windows,10,2.2,530.0,Nvidia,Intel,1920,1080,2.7
HP,ProBook 470,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1TB HDD,Windows,10,2.5,977.0,Nvidia,Intel,1920,1080,1.6
Dell,Latitude 5590,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,1.88,1096.16,Intel,Intel,1920,1080,1.6
Apple,"MacBook 12""",12.0,IPS Panel Retina Display 2304x1440,Intel Core i5 1.3GHz,8,512GB SSD,macOS,X,0.92,1510.0,Intel,Intel,2304,1440,1.3
HP,ProBook 440,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,1.63,860.0,Intel,Intel,1920,1080,1.6
Lenovo,IdeaPad 320-15AST,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,128GB SSD,Windows,10,2.2,399.0,AMD,AMD,1920,1080,2.5
Acer,Aspire 3,15.6,1366x768,AMD A9-Series 9420 3GHz,4,1TB HDD,Windows,10,2.1,395.0,AMD,AMD,1366,768,3.0
Dell,Inspiron 7577,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,128GB SSD +  1TB HDD,Windows,10,2.65,1349.0,Nvidia,Intel,1920,1080,2.8
HP,Pavilion 15-CK000nv,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Windows,10,1.83,699.0,Nvidia,Intel,1920,1080,1.8
HP,250 G6,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10,1.96,598.99,Intel,Intel,1920,1080,2.5
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,128GB SSD +  1TB HDD,Windows,10,2.2,1449.0,Nvidia,Intel,1920,1080,2.8
Dell,XPS 13,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Windows,10,1.21,1649.0,Intel,Intel,1920,1080,1.8
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,15.6,Full HD 1920x1080,AMD FX 9830P 3GHz,8,1TB HDD,Windows,10,2.45,699.0,AMD,AMD,1920,1080,3.0
Acer,Aspire 5,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,1TB HDD,Windows,10,2.2,689.0,Nvidia,Intel,1920,1080,1.8
HP,Probook 430,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Windows,10,1.49,1197.0,Intel,Intel,1920,1080,1.8
Dell,Inspiron 7577,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,Windows,10,2.65,1195.0,Nvidia,Intel,1920,1080,2.5
Asus,Zenbook UX430UA,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Windows,10,1.25,1049.0,Intel,Intel,1920,1080,2.7
Acer,Spin 5,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,1.5,847.0,Intel,Intel,1920,1080,1.6
Dell,Inspiron 3567,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,1TB HDD,Linux,Version Unknown,2.2,599.9,AMD,Intel,1920,1080,2.7
Dell,Inspiron 3567,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256GB SSD,Linux,Version Unknown,2.2,485.0,AMD,Intel,1920,1080,2.0
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,6,256GB SSD,Windows,10,2.0,577.0,Nvidia,Intel,1920,1080,2.4
HP,Omen 15-ce007nv,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12,128GB SSD +  1TB HDD,Windows,10,2.62,1249.0,Nvidia,Intel,1920,1080,2.8
HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Windows,10,1.91,719.0,AMD,Intel,1920,1080,2.7
HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,15.6,Full HD 1920x1080,AMD E-Series E2-9000e 1.5GHz,4,500GB HDD,Windows,10,2.1,349.0,AMD,AMD,1920,1080,1.5
Dell,Inspiron 3576,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1TB HDD,Linux,Version Unknown,2.2,647.0,AMD,Intel,1920,1080,1.6
HP,Envy 13-ad009n,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Windows,10,1.38,1119.0,Nvidia,Intel,1920,1080,2.7
Microsoft,Surface Laptop,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10 S,1.252,1340.0,Intel,Intel,2256,1504,2.5
HP,Pavilion 14-BK001nv,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6,256GB SSD,Windows,10,1.58,659.0,Nvidia,Intel,1920,1080,2.5
Lenovo,Ideapad 310-15ISK,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1TB HDD,Windows,10,1.85,414.9,Intel,Intel,1920,1080,2.0
Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Windows,10,1.3,1193.0,Nvidia,Intel,1920,1080,2.7
Micro-Star International,GP62M 7REX,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Windows,10,2.2,1299.0,Nvidia,Intel,1920,1080,2.8
Lenovo,Thinkpad T470,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Windows,10,1.58,1480.0,Intel,Intel,1920,1080,2.7
Asus,VivoBook S15,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,256GB SSD +  1TB HDD,Windows,10,1.5,1262.0,Nvidia,Intel,1920,1080,1.8
Dell,XPS 13,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7560U 2.4GHz,8,256GB SSD,Windows,10,1.23,1379.0,Intel,Intel,3200,1800,2.4
Lenovo,ThinkPad Yoga,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10,1.37,1399.0,Intel,Intel,1920,1080,2.5
HP,Probook 440,14.0,IPS Panel 1366x768,Intel Core i5 8250U 1.6GHz,4,500GB HDD,Windows,10,1.63,722.0,Intel,Intel,1366,768,1.6
Dell,XPS 13,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,1.21,1629.0,Intel,Intel,1920,1080,1.6
HP,Spectre x360,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,1.26,1398.99,Intel,Intel,1920,1080,1.6
HP,Probook 440,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,512GB SSD,Windows,10,1.63,1084.0,Intel,Intel,1920,1080,1.8
Dell,Inspiron 7570,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD +  1TB HDD,Windows,10,2.16,1130.33,Nvidia,Intel,1920,1080,1.8
Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,17.3,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1TB HDD,Windows,10,2.0,564.0,Nvidia,Intel,1920,1080,2.0
Asus,VivoBook S15,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Windows,10,1.7,1118.0,Nvidia,Intel,1920,1080,1.8
Acer,Spin 3,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,6,1TB HDD,Windows,10,2.1,479.0,Intel,Intel,1920,1080,2.4
Micro-Star International,GS63VR 7RG,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  2TB HDD,Windows,10,1.8,2241.5,Nvidia,Intel,1920,1080,2.8
Lenovo,IdeaPad 320-15IKBN,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,No OS,Version Unknown,2.2,629.0,Nvidia,Intel,1920,1080,2.5
HP,Probook 470,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Windows,10,2.5,1271.0,Nvidia,Intel,1920,1080,1.8
Acer,Aspire 3,15.6,1366x768,AMD A9-Series 9420 3GHz,4,256GB SSD,Windows,10,2.1,451.0,AMD,AMD,1366,768,3.0
HP,250 G6,15.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4,500GB HDD,No OS,Version Unknown,1.86,259.0,Intel,Intel,1366,768,1.6
HP,Probook 440,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1TB HDD,Windows,10,1.63,812.0,Intel,Intel,1920,1080,1.6
Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,14.0,1366x768,AMD E-Series 6110 1.5GHz,4,64GB SSD,Windows,10 S,1.65,277.99,AMD,AMD,1366,768,1.5
Dell,Inspiron 5770,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,256GB SSD +  2TB HDD,Windows,10,2.8,1396.0,AMD,Intel,1920,1080,1.8
HP,ProBook 470,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,2.5,928.0,Intel,Intel,1920,1080,1.6
Dell,Inspiron 5567,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8,1TB HDD,Windows,10,2.36,638.99,AMD,Intel,1366,768,2.5
Dell,Inspiron 3567,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1TB HDD,Windows,10,2.2,449.0,AMD,Intel,1920,1080,2.0
Acer,Swift 3,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Windows,10,1.6,884.0,Intel,Intel,1920,1080,1.8
Acer,Aspire A515-51G-37JS,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4,256GB SSD,Windows,10,2.2,572.0,Nvidia,Intel,1920,1080,2.7
HP,15-BS078nr (i7-7500U/8GB/1TB/W10),15.6,1366x768,Intel Core i7 7500U 2.7GHz,8,1TB HDD,Windows,10,2.05,598.0,Intel,Intel,1366,768,2.7
HP,Probook 440,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Windows,10,1.63,988.0,Intel,Intel,1920,1080,1.8
Lenovo,V110-15IAP (N3350/4GB/1TB/No,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,1TB HDD,No OS,Version Unknown,1.9,252.36,Intel,Intel,1366,768,1.1
Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,Windows,10,3.0,938.0,Nvidia,Intel,1920,1080,2.5
Lenovo,IdeaPad 320-15IKBN,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,1TB HDD,No OS,Version Unknown,2.2,499.0,Nvidia,Intel,1920,1080,2.5
HP,Envy 13-AD007nv,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,256GB SSD,Windows,10,1.32,699.0,Intel,Intel,1920,1080,2.5
Acer,Aspire 5,17.3,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4,1TB HDD,Windows,10,3.0,655.0,Nvidia,Intel,1920,1080,2.7
Lenovo,ThinkPad E480,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,1.75,1116.02,AMD,Intel,1920,1080,1.6
Lenovo,Legion Y520-15IKBN,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256GB SSD,No OS,Version Unknown,2.4,869.0,Nvidia,Intel,1920,1080,2.8
Toshiba,Satellite Pro,15.6,1366x768,Intel Core i5 6200U 2.3GHz,4,500GB HDD,Windows,10,2.1,602.0,Intel,Intel,1366,768,2.3
HP,255 G6,15.6,1366x768,AMD A6-Series 9220 2.5GHz,4,256GB SSD,Windows,10,1.86,369.0,AMD,AMD,1366,768,2.5
