organization_id,name,website,country,description,founded,industry,number_of_employees
cEF9B4675E4bBd0,Mason Inc,https://franco-walls.com/,United States of America,Distributed exuding initiative,2015,Law Enforcement,9723
f735adc8E8d53F4,"Giles, Ingram and Figueroa",http://kim-frank.net/,Kyrgyz Republic,Adaptive mobile methodology,1976,Railroad Manufacture,9719
537fDeebAeE6bC4,"Davidson, Church and Sutton",http://www.shaffer-pollard.com/,Yemen,Total actuating artificial intelligence,1984,Maritime,9719
6e6BF4D43DdFbCd,"Stephenson, Ashley and Chung",http://www.fry.com/,Suriname,Centralized context-sensitive Local Area Network,1974,Glass / Ceramics / Concrete,9716
332c88B02C7AEEe,"Esparza, Jimenez and Hendrix",http://www.manning.org/,Ukraine,Diverse foreground Graphical User Interface,2003,Events Services,9709
699E5B0Fe674695,"Henderson, Garrison and Melendez",https://boone.info/,Cocos (Keeling) Islands,Intuitive human-resource methodology,2014,Publishing Industry,9686
94e7CCBaeE6E83A,Simon-Decker,https://www.cameron-mcdonald.com/,Israel,Self-enabling exuding open system,1976,Accounting,9686
B7B5ca3592086ed,"Joyce, Chambers and Monroe",https://potts.com/,Congo,Configurable asynchronous protocol,2004,Animation,9684
cdbd7720BBA0BF5,"Werner, Berry and Dominguez",http://castro-robles.com/,Botswana,Adaptive dynamic service-desk,2014,Textiles,9676
67eeACAbCfcCB6c,"Mays, Robles and Shah",https://myers.com/,Cambodia,Focused logistical project,1989,Chemicals,9666
C49FF4A4319C6F2,"Lopez, Moyer and Crane",https://www.patterson-leonard.com/,Western Sahara,De-engineered transitional success,1985,Mechanical or Industrial Engineering,9665
11CFd4acB1B382a,"Ortiz, Robbins and Burch",http://woodward.biz/,Namibia,Vision-oriented value-added toolset,1991,Transportation,9661
940BB95b4a70652,Greer LLC,https://www.dickerson.net/,Macedonia,Profound discrete architecture,2010,Think Tanks,9656
18c26Fd0FAD73e3,Murray-Meadows,http://velazquez-harmon.com/,British Indian Ocean Territory (Chagos Archipelago),Automated global installation,1996,International Trade / Development,9655
fb20B12fCf3f4Be,"Hicks, Hall and Hopkins",http://gilmore.net/,Benin,Upgradable dynamic knowledge user,1979,Writing / Editing,9652
D253B3cEE134fed,Gallagher-Patel,https://welch-pitts.com/,Central African Republic,Operative disintermediate frame,1984,Computer / Network Security,9633
3bc225574eaD26F,Lucero-Rodriguez,http://krueger.com/,Switzerland,Down-sized zero tolerance complexity,1976,Defense / Space,9625
a125F15e04631ca,Collins Group,https://www.paul-edwards.org/,Netherlands Antilles,User-centric systemic algorithm,2008,Internet,9616
E3bE91a65f9A038,Drake LLC,http://mitchell-melton.com/,Vanuatu,Total modular intranet,1971,Restaurants,9615
FC4b2a657d1dC67,Suarez-Flynn,http://www.fitzgerald.org/,Mauritius,Stand-alone static analyzer,1998,Legal Services,9600
B963d1165e3d034,"Kane, Baldwin and Clayton",https://atkinson.com/,Syrian Arab Republic,Re-contextualized well-modulated database,1980,Library,9592
33dDaAc27baFc92,Everett-Duke,http://dickson.com/,Romania,Innovative empowering infrastructure,1999,Package / Freight Delivery,9578
2A7407b15FB99De,Heath-Barrera,https://www.shah.com/,Senegal,Innovative fresh-thinking capability,2018,Retail Industry,9569
cAEBe8A60d46f16,Torres-Preston,https://www.waller.info/,Sweden,Implemented real-time concept,1991,Warehousing,9540
df5374b39F2fF79,Villegas-Liu,http://kemp-lucero.com/,Malaysia,Synergized 24hour system engine,1991,Mental Health Care,9517
DB6109ab9Fff8f4,Richard-Conway,https://www.cisneros.com/,Lao People's Democratic Republic,Switchable transitional toolset,1988,Fundraising,9510
C7e63E490BDe0E4,Cain Group,http://www.waters-walker.info/,Niue,Cross-platform full-range project,1994,Supermarkets,9505
722A53cBc046caC,"Carlson, Vargas and Carroll",http://www.gordon-thomas.com/,Georgia,Sharable incremental interface,2018,Ranching,9503
9BabC39950bb2aa,"Mcdonald, Williamson and Reese",https://lucas.biz/,Maldives,Robust background challenge,1972,Other Industry,9501
7647af9d4705c6b,Norton Group,https://collins-michael.com/,Burundi,Right-sized 3rdgeneration moderator,2016,Utilities,9497
73ab5e45c1e5B55,Hurley Group,https://roman.org/,Christmas Island,Reduced empowering analyzer,1987,Staffing / Recruiting,9469
ABF8dCCaBe179F9,Dodson-Lam,https://www.guzman.org/,Cyprus,Balanced 6thgeneration core,1984,Judiciary,9440
cB1eC645CE8BBDA,Morrow Inc,https://montgomery.info/,Pakistan,De-engineered executive projection,2011,Government Administration,9434
FBCcF9EFDf2a70d,"Fuller, Beasley and Rivas",https://www.manning.com/,Tajikistan,Vision-oriented object-oriented capability,1984,Mining / Metals,9432
A25549b77E0c766,"Stanton, Graves and Ibarra",http://hanna-hunt.com/,Grenada,Synchronized uniform portal,2000,Professional Training,9431
5DBFfAD3Fed38C9,"Williamson, Howe and Mckenzie",https://www.moody-arellano.biz/,Wallis and Futuna,Secured full-range intranet,2007,Ranching,9419
DdB3cF0ce1fDb2a,Graham-Hudson,http://robbins.com/,Martinique,Monitored hybrid projection,1988,Ranching,9392
0d1c7d0eC478Eb3,Malone Group,http://www.blackburn-dodson.com/,Sweden,Face-to-face bi-directional process improvement,2011,Business Supplies / Equipment,9386
46671edeC7CF6Bf,Mcbride PLC,http://www.camacho.info/,Guernsey,Persevering non-volatile implementation,1986,Machinery,9376
d2cb5B5e5AC938A,Bradley PLC,http://www.yates.com/,Eritrea,Synchronized secondary project,2004,Packaging / Containers,9343
522809bebBfcE43,Pollard LLC,http://www.paul-stein.com/,French Guiana,Cross-group zero tolerance info-mediaries,2013,Performing Arts,9329
dE596ab67E93e2d,Riley-Hodge,http://www.macias-velasquez.net/,Egypt,Profit-focused 24/7 frame,2000,Translation / Localization,9307
813f5339Ad1cf6e,Sparks-Savage,http://sanchez.info/,Macao,Enhanced systemic conglomeration,1995,Electrical / Electronic Manufacturing,9288
B6cF3a0fe2A5acD,Tate PLC,http://www.fuentes-morgan.info/,Georgia,Synchronized discrete challenge,2020,Machinery,9286
EBcF126fE9fdEAD,Boyle-Beard,http://www.fisher.com/,Cyprus,Visionary empowering help-desk,1985,Political Organization,9283
12b447DFF9eef1f,"Solis, Knapp and Nash",https://www.finley.biz/,Marshall Islands,Visionary content-based model,1978,Aviation / Aerospace,9277
B35CAaaA264f0AF,"Bond, Snyder and Dixon",http://farmer.org/,Saint Pierre and Miquelon,Open-architected 3rdgeneration pricing structure,2018,Individual / Family Services,9271
dcFFb6BCB80bC16,Pugh-Sampson,http://chapman.com/,French Southern Territories,De-engineered bandwidth-monitored definition,1986,Wireless,9256
C9d4Fb3bEBd10bc,Esparza Inc,https://crawford.com/,Isle of Man,Customizable bi-directional emulation,1973,Government Relations,9246
C3Ea6c9A31EDf44,Sanchez-Bell,https://www.grant-duffy.com/,Lao People's Democratic Republic,Automated upward-trending emulation,1987,Graphic Design / Web Design,9240
EBF6F5440f6bbf4,"Mckay, Cervantes and Blevins",https://santana-nielsen.com/,Western Sahara,Integrated full-range interface,1977,Investment Management / Hedge Fund / Private Equity,9237
41EC4DDD3F62BBC,"Arroyo, Garcia and Patterson",http://www.martin.com/,Denmark,Sharable grid-enabled Internet solution,2020,Wireless,9235
ed8ABDCda9dd862,"Esparza, Lyons and Diaz",http://durham.com/,Botswana,Total homogeneous standardization,1976,Library,9231
8a3f4C30964e1Af,Small-Peters,http://www.graham-vazquez.com/,Russian Federation,Total mission-critical monitoring,1970,Computer Hardware,9212
0BE7686B0a6Ac5e,Harmon-Dillon,https://www.pitts.com/,Niger,Vision-oriented regional contingency,1975,Military Industry,9188
aFC46D7fACeCD9b,"Blevins, Compton and Peck",https://melendez.org/,Korea,Digitized user-facing middleware,1996,Public Relations / PR,9178
Df6AF24EE566F49,Olson-Mcconnell,http://www.christensen-norton.com/,Faroe Islands,Customer-focused local info-mediaries,1970,Medical Equipment,9170
4D5DEaBDeeF638a,"Pham, Owens and Frost",https://cochran-rojas.com/,Yemen,Persistent leadingedge neural-net,2007,Automotive,9158
EbC6f1af4dFd56b,Jarvis LLC,https://www.delgado.com/,Tunisia,Digitized bi-directional time-frame,1992,Renewables / Environment,9151
dEDd9D0Aa6115D3,Collier and Sons,http://www.woodward.com/,Brazil,Organized foreground forecast,2020,Transportation,9151
FFA47DAc1a190be,"Gallegos, Barrera and Camacho",https://www.wall.com/,Uruguay,Integrated 4thgeneration moderator,1991,Capital Markets / Hedge Fund / Private Equity,9146
dAA7BD2c863aA68,Chase-Saunders,https://www.carr.com/,Palestinian Territory,Pre-emptive tertiary solution,1975,Venture Capital / VC,9145
efFe2cB0Aacfdfb,"Morris, Villegas and English",http://www.stephenson.com/,Kenya,Multi-channeled cohesive moderator,2021,Sporting Goods,9089
5fdD9eeCDb02e0f,"Tucker, Hartman and Mathews",http://www.galloway.net/,Oman,Phased dedicated success,1982,Restaurants,9088
8F3D5626D7D4F41,Ramos Ltd,https://www.werner-holder.biz/,Gambia,Focused zero administration open system,2018,Computer / Network Security,9088
FE6b0d849EA1ff8,Fuller Inc,http://www.meyers-mcmillan.info/,Guam,Open-architected interactive knowledgebase,2013,Food / Beverages,9074
D76BB12E5eE165B,Bauer-Weiss,https://gillespie-stout.com/,United States of America,Synergistic maximized definition,2015,Dairy,9069
E0c34C4C54d52fe,Solis-Cortez,http://www.hamilton.com/,Guinea-Bissau,Versatile intangible portal,1996,Facilities Services,9069
9f8eFb3D03193DB,Cortez LLC,http://woodard.com/,Antarctica (the territory South of 60 deg S),Customer-focused background approach,1972,Printing,9056
968234DAaF5CD2E,"Perry, Doyle and Arias",https://rodgers.com/,Saint Lucia,Switchable asynchronous initiative,1987,Oil / Energy / Solar / Greentech,9052
E0ce45b0666Dd47,Morse PLC,https://www.cordova-ramsey.info/,Timor-Leste,Phased regional algorithm,2017,Supermarkets,9044
BeeA0cEFCd9B53A,"Mccormick, Stafford and Soto",http://welch.net/,Guyana,Phased empowering monitoring,2000,Health / Fitness,9014
a4FF0d1bed7Ad9f,Watkins Group,http://walker.com/,Guernsey,Realigned methodical conglomeration,2005,Mental Health Care,9013
5AadCaef5FF7aED,Hartman and Sons,https://holder.net/,Senegal,Configurable discrete algorithm,1987,Industrial Automation,8987
C8ee331607f5eba,Herring-Orr,https://www.middleton-sexton.com/,Germany,Reduced fresh-thinking extranet,2003,Financial Services,8986
A32fecebff1Cb82,Salas-Zamora,http://castro-carson.org/,Mali,Open-source stable focus group,2019,Facilities Services,8973
cb63A5285E8ADa9,Hodges-Rollins,https://www.conway.biz/,Tanzania,Re-contextualized real-time task-force,1970,Mechanical or Industrial Engineering,8970
ff39194b871F0dB,Macias-Chung,https://levine.com/,Palau,Object-based dynamic installation,1985,Motion Pictures / Film,8958
9aAAD5026aa8ABF,Leonard-Wilkinson,http://houston-bailey.com/,Chile,Customer-focused mobile collaboration,1995,Wholesale,8952
5022C998EdEAda1,Jackson Group,http://www.haney-bailey.com/,Austria,Universal optimal access,1984,E - Learning,8940
2C296aE0AA2Ff5d,Bridges-Carroll,http://blevins-humphrey.com/,Liechtenstein,Extended 24hour implementation,1999,Commercial Real Estate,8937
af8Ed38Dd67200D,Mclean-Boyle,https://morton.com/,Niger,Compatible static Graphical User Interface,2017,Recreational Facilities / Services,8935
391e22a22E6C77A,"Sanchez, Pugh and Decker",http://faulkner-anthony.com/,Chile,Progressive directional Graphic Interface,2022,Alternative Dispute Resolution,8917
c6a1ABf0EAa97dB,Bennett PLC,http://www.ferguson.org/,Niue,Persevering stable firmware,2001,Aviation / Aerospace,8909
c8EfD8A1ae4E3CF,Taylor LLC,http://www.spears.com/,Central African Republic,Decentralized heuristic orchestration,1997,Chemicals,8904
a24DFD5Ad79C3a7,Mccullough-Zavala,http://www.thornton.biz/,Kiribati,Focused holistic functionalities,1993,Plastics,8897
e82EC3fEFC5aC80,"Ochoa, Hodges and Jacobson",http://www.herman-daniel.com/,India,Inverse systemic ability,2003,Alternative Dispute Resolution,8891
05BbFBDA2aD8E1a,Perez Group,http://harper.com/,Comoros,Devolved empowering complexity,2007,Wine / Spirits,8889
3ED7b5F7C7F2bFe,Cline Inc,https://randolph.com/,Argentina,Enhanced exuding parallelism,2009,Translation / Localization,8887
96BBBefa9D8DaEc,Ward and Sons,https://www.porter.com/,France,Distributed intermediate conglomeration,2001,Veterinary,8887
183Edd689DBdE8f,Santana Group,https://kim.com/,Heard Island and McDonald Islands,Focused interactive Graphic Interface,2022,Fishery,8873
ecEDFb72DaEeBbC,"Mullins, Castaneda and Bernard",https://www.sampson.com/,Argentina,Proactive optimal structure,1998,Research Industry,8861
7EFE6660F3D6aFD,"Mcpherson, Davila and Richard",https://www.oconnell.net/,Reunion,User-centric asymmetric frame,1975,E - Learning,8856
c32ab921aCa1B00,"Rivera, Russo and Romero",https://www.wells-romero.com/,Nicaragua,Versatile leadingedge analyzer,1993,Package / Freight Delivery,8848
cBd16B4174DED61,"Shaw, Yang and Morton",https://dawson-russell.com/,Cuba,Self-enabling composite alliance,1985,Gambling / Casinos,8841
B018AfA049f1ec9,Brock Inc,https://www.vincent.com/,Martinique,Expanded value-added service-desk,1973,Fishery,8840
ac06371D52Dbb88,"Duran, Conrad and Potts",https://www.davila.com/,Sri Lanka,Devolved uniform challenge,2009,Import / Export,8838
B598519fDfC530B,Petty Group,http://www.scott-marks.info/,Bouvet Island (Bouvetoya),Reduced multimedia function,1985,Marketing / Advertising / Sales,8830
CBE3dA81DFae3a3,Graves Inc,http://www.hinton-potts.com/,Dominican Republic,Cross-group multi-state emulation,1986,Staffing / Recruiting,8802
3027fa2EdAEf05a,"Stein, Gomez and Garrison",http://manning-murphy.com/,Saudi Arabia,Ameliorated exuding workforce,1975,Food / Beverages,8793
dcBFdC5B5ef0C20,"Galvan, Clarke and Murray",https://hutchinson.net/,Eritrea,Cross-group 5thgeneration productivity,2005,Performing Arts,8788
5447c8AAe9E73f4,Ballard and Sons,http://www.guerra-fernandez.com/,Nicaragua,Assimilated even-keeled protocol,1988,Apparel / Fashion,8756
2CF1Cef7d253FD3,Hayden and Sons,https://kirk.com/,Norfolk Island,Open-architected eco-centric standardization,2013,Hospital / Health Care,8746
Ff529EFa06CDDDB,Hanna-Richardson,http://www.ali.com/,Nicaragua,Ameliorated dynamic architecture,1975,Sporting Goods,8738
D60EB560ccf800f,"Neal, Maxwell and Moore",https://gutierrez.com/,Haiti,Open-architected discrete collaboration,2006,Business Supplies / Equipment,8738
a31Ed2D9f41D8Ff,"Beck, James and Soto",http://www.decker.net/,Portugal,Visionary cohesive function,1992,Fishery,8712
CdF2e85CA8a7cfa,Camacho Ltd,http://www.leonard.com/,Isle of Man,Reduced clear-thinking adapter,1982,Chemicals,8710
b4F29b10aEa87C4,Caldwell-Atkins,http://bryant.com/,Svalbard & Jan Mayen Islands,Advanced value-added data-warehouse,2000,Media Production,8706
6FB2023D97790C7,Dunlap-Fritz,http://jennings-kerr.info/,Indonesia,Self-enabling mission-critical database,1990,Textiles,8677
cDFbAbdD3Ae5Ca1,Mills-Clements,https://newton.com/,Kenya,Right-sized responsive hardware,1988,Public Relations / PR,8674
4B8B4E2fF70cd78,"Snyder, Levine and Dodson",http://www.horn-sloan.net/,Saudi Arabia,Decentralized bandwidth-monitored website,2019,Museums / Institutions,8656
EcDbf14F9f876D7,"Manning, Mcpherson and Robertson",https://king.org/,France,Switchable coherent functionalities,1979,Plastics,8644
6A4daD8c40aa962,"Mccann, Dominguez and Ray",http://www.deleon.com/,Guadeloupe,Mandatory systemic moderator,2016,Broadcast Media,8641
7deB9B07d11278e,Pineda-Vaughan,https://richard.info/,United States of America,Assimilated responsive definition,1981,Sporting Goods,8635
F6a45A94F830C9c,Ramos Group,https://www.moses.com/,Suriname,Ergonomic intangible leverage,1997,Wireless,8627
318C1F58cFcBda9,Weaver-Barnett,https://www.patton-ayers.com/,Belarus,Managed disintermediate moderator,1991,Business Supplies / Equipment,8600
a0f1cBF2b9Ddc4D,"Floyd, Novak and Cohen",https://davenport-owens.info/,Nicaragua,Cross-platform context-sensitive customer loyalty,2001,Philanthropy,8594
D8D49e364C4Bc6D,Griffin-Bauer,http://www.moss.com/,Russian Federation,Synergized 24hour neural-net,1987,Security / Investigations,8587
8Bb4d87c9E9b58d,"Livingston, Stein and Byrd",https://jackson.biz/,India,Phased system-worthy parallelism,2019,Internet,8578
3c08339AF3bb8C8,Medina-Wells,https://flynn.com/,Andorra,Streamlined tangible intranet,1986,Online Publishing,8575
2FaB6dAd4AfE024,Marquez-Blankenship,https://nolan.net/,American Samoa,Self-enabling optimal adapter,1989,Warehousing,8562
D5e778EF78bfc2f,"Pennington, Hooper and Perkins",https://www.sparks-proctor.com/,Saint Barthelemy,Customizable user-facing initiative,1984,Dairy,8560
bc8cFBCeAf2d9AB,Walker-Marshall,http://galvan.com/,Niue,Focused multi-tasking open system,2017,Business Supplies / Equipment,8537
dcaF3C5Ba029Ba8,Roberts Group,http://gamble-blake.com/,Somalia,Function-based even-keeled process improvement,2021,Individual / Family Services,8534
78EA4C2c1CB83aB,"Hansen, Chan and Molina",http://stevens.com/,Benin,Multi-tiered transitional policy,1994,Translation / Localization,8534
6E27b1769cc86dB,"Ware, Smith and Mendez",https://tucker-peck.com/,Vietnam,Reactive responsive archive,1997,Venture Capital / VC,8518
CfC7683A8cee57D,Armstrong-Griffith,https://www.vaughan.biz/,Kyrgyz Republic,Ergonomic optimizing groupware,2020,Plastics,8509
6F442E8596b4B4e,Michael-Lee,https://www.trevino.com/,Andorra,Down-sized dynamic core,2004,Law Practice / Law Firms,8506
1bFF3577dbcEb9A,Macdonald-Villegas,http://www.kramer.net/,Nicaragua,User-friendly cohesive artificial intelligence,2010,Animation,8501
BeFFBE7Ee550703,Prince Ltd,http://www.stafford-reed.com/,Switzerland,Right-sized clear-thinking Graphic Interface,1971,Hospitality,8500
b0BBeBB36bAbb35,"Koch, Gomez and Hays",http://ewing-rosario.biz/,French Southern Territories,Operative national superstructure,1997,Financial Services,8497
baDce4b6B7E6eCf,Mcmahon PLC,https://www.brock.com/,Haiti,Stand-alone modular model,2012,Automotive,8491
0dCA8aFEfdA7CFA,Hardy-Clements,http://rollins.com/,El Salvador,Automated transitional model,2010,Machinery,8486
9e0F10eDFBeCFa7,"Bridges, Velez and Rivera",http://www.obrien-branch.biz/,New Zealand,Organic upward-trending database,1993,Media Production,8480
c763F85Cc571e19,Wilcox LLC,https://www.holder.info/,Brazil,Organized user-facing analyzer,1988,Computer Games,8471
Ff3AEca14f2b61b,"Hobbs, Evans and Holder",http://www.murillo.com/,Italy,Customizable explicit flexibility,2001,Aviation / Aerospace,8461
cce3B1c5F77bDF1,Bryan PLC,http://www.decker.com/,Gambia,Future-proofed mission-critical moderator,1986,Government Administration,8423
E5eEd7ec70B2B04,May-Baird,http://www.freeman-myers.com/,Qatar,Advanced mission-critical methodology,2009,Government Administration,8399
3E5AFfb1dEBd0F9,Gross-Holloway,https://www.jennings.org/,Hong Kong,Ameliorated bottom-line knowledgebase,2020,Plastics,8389
98C2aE97C376CFD,"Glover, Roach and Alexander",http://abbott-bridges.com/,Gambia,Universal 24/7 toolset,1971,Apparel / Fashion,8383
6F1CDBD6364d8c8,Shea-Peck,http://ramsey-camacho.com/,Saint Helena,Visionary directional attitude,2005,Alternative Medicine,8338
cbD3a52cB2c9EdC,Wilkins and Sons,http://tyler-mcbride.net/,Switzerland,Reverse-engineered eco-centric capacity,1994,Information Services,8335
AbE6001BADABaEe,"Cardenas, Brown and Melton",http://garrison.biz/,Thailand,Front-line content-based hardware,1980,Hospitality,8328
1df847ecdc9E6c8,Kaiser-Newman,https://www.faulkner.com/,Wallis and Futuna,Ergonomic hybrid core,1990,Wireless,8323
6Be8A1EF720Fd32,Whitaker-Lara,https://buckley-mayo.com/,Azerbaijan,Persistent motivating project,1992,Glass / Ceramics / Concrete,8323
b943Aa9d8d33575,Dougherty-Tate,http://pace.org/,Honduras,Optimized fault-tolerant infrastructure,1991,Food Production,8318
F8D84D6DF09Ea0e,Singh-Pace,https://www.cruz-duffy.net/,Rwanda,Self-enabling human-resource utilization,1977,Broadcast Media,8318
3f665DEB1D8d4E9,Gray and Sons,http://dodson.com/,China,Virtual system-worthy adapter,1980,Packaging / Containers,8303
efc5C915AcbF437,"Young, Buchanan and Vazquez",http://www.gregory-chapman.com/,Greenland,Customizable disintermediate attitude,2005,Sports,8299
10D5f8e3B8d31B0,"Newton, Ferguson and Camacho",http://barker-mata.com/,Namibia,Realigned incremental leverage,2020,Pharmaceuticals,8287
f8bD41B97F5e96a,Scott-Ramsey,https://wyatt.com/,Czech Republic,Triple-buffered optimal array,2018,Design,8263
958CAbB9B17124D,"Vega, Miller and Calderon",http://www.joseph-contreras.com/,Cambodia,Sharable asymmetric monitoring,2012,Professional Training,8250
dFD2Cf9485B11c6,Richards-Zimmerman,http://vasquez-macdonald.biz/,Fiji,Open-source interactive initiative,2018,Public Safety,8249
Dd7B5CBf5bc8FB8,Park-Gomez,http://baxter.biz/,Georgia,Focused 24/7 leverage,1998,Luxury Goods / Jewelry,8228
d8Ec443ba5419A7,"Dunlap, Mccullough and Pittman",http://www.paul.com/,Israel,Up-sized needs-based extranet,2014,Dairy,8217
Df39abf66AE4D0C,"Romero, Austin and Gentry",https://cooper-nash.com/,Brunei Darussalam,Organized upward-trending array,1990,Railroad Manufacture,8213
F332EbdbF6EDEa1,Rojas-Castro,https://www.mcdonald.com/,Saint Martin,Expanded bi-directional definition,1981,Construction,8201
CEFBAaEE9E02DFF,"Anderson, Snyder and Finley",https://sullivan-acevedo.biz/,Thailand,Face-to-face attitude-oriented approach,2016,Sporting Goods,8193
F21Ac01c1C5f5fF,Powers-Francis,http://www.flores-cochran.org/,Guatemala,Grass-roots transitional open architecture,1988,Marketing / Advertising / Sales,8184
DC4aF0Ddc8ffCd7,"Mercado, Butler and Walsh",https://www.olson.com/,Peru,Fully-configurable composite concept,1998,Hospital / Health Care,8177
f07D1c97e06D8c2,Garrison and Sons,https://watkins-hoffman.biz/,Puerto Rico,Digitized bottom-line access,1998,Package / Freight Delivery,8166
ACd06BbA8bcF9Ee,Simmons-Farmer,http://www.vance.org/,Togo,Centralized impactful architecture,2007,Higher Education / Acadamia,8162
1C1bC158deE046b,"Barr, James and Gilbert",https://www.farmer-wilkerson.biz/,Cyprus,User-centric static alliance,1989,Paper / Forest Products,8147
5DBB0554Fd1CB13,Cohen LLC,http://giles.biz/,Saint Vincent and the Grenadines,Innovative systematic groupware,1983,Civic / Social Organization,8145
a5E8ce5cF97c2AC,"Novak, Mcguire and Copeland",http://www.tate.com/,Chad,Vision-oriented even-keeled groupware,2011,Packaging / Containers,8128
3DeebF49BD2fcE7,"Tucker, Rocha and Bonilla",http://www.ryan.org/,Anguilla,Synergized maximized leverage,2016,Library,8125
be63F1F5aC0aEF2,Ibarra-Klein,http://www.ellis.com/,United States Minor Outlying Islands,Expanded value-added complexity,1985,Oil / Energy / Solar / Greentech,8107
CAFbcFc67aB9e31,Gay Inc,https://moses-dunn.com/,Myanmar,Polarized explicit focus group,2019,Luxury Goods / Jewelry,8106
BBB5AB4B0Aad7a3,Meza-Carroll,http://www.walker.net/,Azerbaijan,Exclusive 4thgeneration synergy,1975,Packaging / Containers,8073
cCE52f95Ab4b6Fa,"Calhoun, Becker and Madden",https://burke.com/,Saint Helena,Advanced systemic intranet,1983,Civic / Social Organization,8073
2A254Fb0Ad525E6,Schroeder-Powell,http://bradshaw.net/,Uruguay,User-centric actuating collaboration,1998,Facilities Services,8061
a9a62AbC02ECeEB,"Wood, Stark and Jacobson",http://www.liu-romero.com/,Congo,Proactive foreground website,2006,Telecommunications,8056
F9ae27b0F6C2BDa,"Hebert, Willis and Bates",https://www.hurley.com/,Namibia,Configurable client-server time-frame,1993,Mining / Metals,8012
AAC4f9aBF86EAeF,Orr-Armstrong,https://www.chapman.net/,Algeria,Ergonomic radical budgetary management,1970,Import / Export,7994
eBD8BceeFc9A560,Hebert-Santos,http://holloway.com/,Cyprus,Grass-roots optimal analyzer,2004,Gambling / Casinos,7982
0Ab00dcBEb6D7B1,"Watson, Haynes and Phelps",https://www.barnes-cross.com/,Eritrea,Right-sized 3rdgeneration complexity,2006,Capital Markets / Hedge Fund / Private Equity,7978
dc94cdF6d5BdDbD,Terrell Inc,https://mcintosh-copeland.org/,China,Persistent maximized challenge,1983,Food / Beverages,7961
EFDcb0cbCDD1AAa,Patrick LLC,http://www.huerta.com/,United States of America,Managed intermediate pricing structure,1997,Facilities Services,7948
bFCb5cE5b9cEEFE,Nixon LLC,http://www.andersen-yu.com/,Tanzania,Reactive local ability,2019,Writing / Editing,7940
26b1EbD5acBBB3b,Preston Inc,http://www.knight.info/,Northern Mariana Islands,Programmable grid-enabled capability,2015,Mental Health Care,7936
b81Ea4bD32537CF,Banks PLC,https://www.clark.com/,Greece,Down-sized optimizing workforce,2003,Machinery,7919
d41EdeefDcd9E33,Bautista PLC,http://www.oconnell.biz/,Rwanda,Progressive 3rdgeneration knowledge user,1987,Nanotechnology,7917
e1e2eDe231A49AA,Silva-Ray,https://www.campbell-cowan.org/,Haiti,Realigned full-range utilization,2002,Capital Markets / Hedge Fund / Private Equity,7913
40A8FB50DeC2fcB,Combs-Romero,https://www.fry.com/,Suriname,Persevering demand-driven moratorium,2019,Computer / Network Security,7903
efdFd467F6089d2,Clay-Delgado,https://www.whitney.com/,Morocco,Open-architected 3rdgeneration initiative,2003,Fundraising,7902
385e653DeD0Cd95,Holmes Ltd,https://www.schmidt-lambert.net/,Taiwan,Phased homogeneous Internet solution,1989,Telecommunications,7901
Af3B0dC3a779Eb5,Ayers LLC,https://gomez-conner.com/,Aruba,Customer-focused fault-tolerant Graphical User Interface,1971,Wholesale,7898
