auctionid,bid,bidtime,bidder,bidderrate,openbid,price
8213183841,64.5,2.792072,josmailbox212,0,50,96.99
8213183841,67.75,2.792257,josmailbox212,0,50,96.99
8213183841,70,2.792431,josmailbox212,0,50,96.99
8213183841,77.75,2.792627,josmailbox212,0,50,96.99
8213183841,89,2.79316,josmailbox212,0,50,96.99
8213183841,93,2.793507,josmailbox212,0,50,96.99
8213183841,95.99,2.999375,sirector,15,50,96.99
8213266411,120,2.813437,jbeaudoin_qc,8,100.16,127.5
8213266411,124,2.813553,jbeaudoin_qc,8,100.16,127.5
8213266411,127.5,2.975312,jbeaudoin_qc,8,100.16,127.5
8213266411,125,2.998044,rayray2185,42,100.16,127.5
8213266411,127.5,2.998831,jbeaudoin_qc,8,100.16,127.5
8213266439,130,2.963542,mikezor18,20,100.16,130
8213266439,122.5,2.997708,sodulguy,0,100.16,130
8213266439,127.5,2.997928,sodulguy,0,100.16,130
8213297233,60,0.190914,bone2faced,7,49,141
8213297233,70,1.73625,hawaiianperry,5,49,141
8213297233,70,2.104711,ktnoodle,4,49,141
8213297233,77,2.105081,ktnoodle,4,49,141
8213297233,80,2.638449,juju1381,38,49,141
8213297233,83,2.738866,chemheel00,62,49,141
8213297233,83,2.763889,uconnbabydoll1975,15,49,141
8213297233,85,2.76412,uconnbabydoll1975,15,49,141
8213297233,125,2.78103,oldmilw,4,49,141
8213297233,87,2.818958,metal_gear_007,6,49,141
8213297233,90,2.819062,metal_gear_007,6,49,141
8213297233,100,2.857141,mgarlie,3,49,141
8213297233,110,2.857465,mgarlie,3,49,141
8213297233,120,2.857743,mgarlie,3,49,141
8213297233,125,2.858044,mgarlie,3,49,141
8213297233,130,2.858391,mgarlie,3,49,141
8213297233,130,2.965162,uconnbabydoll1975,15,49,141
8213297233,133,2.965336,uconnbabydoll1975,15,49,141
8213297233,136,2.992697,katherinef7382,0,49,141
8213297233,138.5,2.994097,katherinef7382,0,49,141
8213297233,141,2.998877,gnomefury,2,49,141
8213297233,141,2.999514,gnomefury,2,49,141
8213305402,10.01,0.191516,dhenshaw69,5,0.01,137.5
8213305402,25,0.48625,saigriever,5,0.01,137.5
8213305402,15,1.667396,drawingowen2005,0,0.01,137.5
8213305402,16,1.924259,alarpi,0,0.01,137.5
8213305402,20,1.92441,alarpi,0,0.01,137.5
8213305402,21,1.924884,alarpi,0,0.01,137.5
8213305402,30,1.925208,alarpi,0,0.01,137.5
8213305402,27,2.077963,connie065,6,0.01,137.5
8213305402,29,2.433183,steve111000888,0,0.01,137.5
8213305402,34,2.43338,steve111000888,0,0.01,137.5
8213305402,32,2.554606,mniffin01,0,0.01,137.5
8213305402,35,2.555313,mniffin01,0,0.01,137.5
8213305402,65,2.569745,zimm2003,7,0.01,137.5
8213305402,40,2.601215,minipc1,104,0.01,137.5
8213305402,60,2.606123,juju1381,38,0.01,137.5
8213305402,68,2.60647,juju1381,38,0.01,137.5
8213305402,90,2.807951,42179odie,0,0.01,137.5
8213305402,85,2.89794,kjbatey1981,8,0.01,137.5
8213305402,100,2.930671,42179odie,0,0.01,137.5
8213305402,105,2.937072,42179odie,0,0.01,137.5
8213305402,135,2.942801,42179odie,0,0.01,137.5
8213305402,130,2.945023,danasdeals4you,0,0.01,137.5
8213305402,135,2.999699,cowboysok,2,0.01,137.5
8213305402,137.5,2.999826,cowboysok,2,0.01,137.5
8213318286,100,1.691088,thebutcherjb,135,99,132.55
8213318286,101,2.713657,imatradinstuff,265,99,132.55
8213318286,115,2.723391,thebutcherjb,135,99,132.55
8213318286,110,2.904873,dr1lofodo,20,99,132.55
8213318286,120.03,2.916458,yarealitycheck,10,99,132.55
8213318286,120,2.983715,thebutcherjb,135,99,132.55
8213318286,125,2.983796,thebutcherjb,135,99,132.55
8213318286,125.05,2.992164,wells77,64,99,132.55
8213318286,132.55,2.998229,gameartforyou,16,99,132.55
8213318286,130.05,2.999109,wells77,64,99,132.55
8213387444,0.99,0.410127,255ricardo,3,0.99,152
8213387444,2.01,0.48037,bardcatcher,40,0.99,152
8213387444,3.59,0.6814,jna326,0,0.99,152
8213387444,7,0.868819,clay78626,2,0.99,152
8213387444,5,0.875706,jon19athan,4,0.99,152
8213387444,10,0.875856,jon19athan,4,0.99,152
8213387444,10,0.934711,clay78626,2,0.99,152
8213387444,11,0.93485,clay78626,2,0.99,152
8213387444,20,0.934988,clay78626,2,0.99,152
8213387444,11.01,0.957917,bardcatcher,40,0.99,152
8213387444,25,1.036655,jon19athan,4,0.99,152
8213387444,30,1.130752,255ricardo,3,0.99,152
8213387444,30,1.316782,cowantaylor123,0,0.99,152
8213387444,32,1.317049,cowantaylor123,0,0.99,152
8213387444,50,1.400694,blusun25,25,0.99,152
8213387444,35,1.475891,cowantaylor123,0,0.99,152
8213387444,38,1.476331,cowantaylor123,0,0.99,152
8213387444,45,1.477303,cowantaylor123,0,0.99,152
8213387444,50,1.478322,cowantaylor123,0,0.99,152
8213387444,52,1.4836,cowantaylor123,0,0.99,152
8213387444,52,1.527257,71vdub,12,0.99,152
8213387444,85,1.528009,71vdub,12,0.99,152
8213387444,95,2.089931,dsign21,7,0.99,152
8213387444,90.08,2.447384,tchick4270,71,0.99,152
8213387444,93.26,2.447639,tchick4270,71,0.99,152
8213387444,100.18,2.447859,tchick4270,71,0.99,152
8213387444,105,2.481528,sdog153,30,0.99,152
8213387444,106,2.668102,pbuyyala,1,0.99,152
8213387444,125,2.791829,oldmilw,4,0.99,152
8213387444,120,2.844826,rhcs2002,28,0.99,152
8213387444,125,2.845012,rhcs2002,28,0.99,152
8213387444,150,2.845208,rhcs2002,28,0.99,152
8213387444,131,2.916308,uconnbabydoll1975,15,0.99,152
8213387444,140,2.916447,uconnbabydoll1975,15,0.99,152
8213387444,146,2.918681,uconnbabydoll1975,15,0.99,152
8213387444,152,2.919757,uconnbabydoll1975,15,0.99,152
8213387659,10,0.033854,hurt281,0,9.99,96
8213387659,12,0.737685,edgar83697,8,9.99,96
8213387659,15,1.189525,mniffin01,0,9.99,96
8213387659,35.98,1.887211,profiler505,113,9.99,96
8213387659,20,2.012234,mniffin01,0,9.99,96
8213387659,25,2.012454,mniffin01,0,9.99,96
8213387659,35,2.01647,mniffin01,0,9.99,96
8213387659,40,2.016701,mniffin01,0,9.99,96
8213387659,38.98,2.047604,profiler505,113,9.99,96
8213387659,50,2.173299,sparky661,324,9.99,96
8213387659,45,2.363391,mniffin01,0,9.99,96
8213387659,50,2.363553,mniffin01,0,9.99,96
8213387659,55,2.363715,mniffin01,0,9.99,96
8213387659,55,2.560764,xrathdarksythe,1,9.99,96
8213387659,57,2.560949,xrathdarksythe,1,9.99,96
8213387659,71,2.636563,mn_mods,103,9.99,96
8213387659,80,2.645775,essarios187,51,9.99,96
8213387659,90,2.650231,essarios187,51,9.99,96
8213387659,73,2.658796,pbuyyala,1,9.99,96
8213387659,78,2.658912,pbuyyala,1,9.99,96
8213387659,85,2.659016,pbuyyala,1,9.99,96
8213387659,95,2.659248,pbuyyala,1,9.99,96
8213387659,92,2.998009,siennawalking,1,9.99,96
8213387659,95,2.998125,siennawalking,1,9.99,96
8213387659,96,2.998275,siennawalking,1,9.99,96
8213403462,51,2.243588,jdev24,0,50,102.5
8213403462,51,2.25919,terrilynjesse,0,50,102.5
8213403462,52,2.259491,terrilynjesse,0,50,102.5
8213403462,53,2.41691,ryanbrown36,1,50,102.5
8213403462,54,2.424711,yonce123,0,50,102.5
8213403462,66,2.5825,mn_mods,103,50,102.5
8213403462,88.98,2.599444,reenactorny,9,50,102.5
8213403462,100,2.644294,sdog153,30,50,102.5
8213403462,102.5,2.999699,kcallah02,79,50,102.5
8213472092,62,2.966563,marnet2go,139,60,63
8213472092,63,2.9989,palmlumber72,40,60,63
8213472092,63,2.999398,palmlumber72,40,60,63
8213702304,100,2.359537,silver7777a,1,99.99,117.5
8213702304,103,2.814965,robyn1399,0,99.99,117.5
8213702304,105,2.815509,robyn1399,0,99.99,117.5
8213702304,110,2.833009,silver7777a,1,99.99,117.5
8213702304,113,2.833877,silver7777a,1,99.99,117.5
8213702304,115,2.834977,robyn1399,0,99.99,117.5
8213702304,117.5,2.855544,silver7777a,1,99.99,117.5
8213733010,75,2.082824,64pman,14,65,82
8213733010,75,2.804861,juanchiuz,0,65,82
8213733010,80,2.900104,64pman,14,65,82
8213733010,80,2.987569,eye_doc65,2,65,82
8213733010,81,2.987951,eye_doc65,2,65,82
8213733010,82,2.999919,blondy22131,1,65,82
8213759776,85.85,0.693287,rcajstein,20,75,112.5
8213759776,80,1.062616,mapapuck,2,75,112.5
8213759776,85,1.062951,mapapuck,2,75,112.5
8213759776,101.5,2.923854,aldo328,48,75,112.5
8213759776,87.85,2.932002,2005anamaris,0,75,112.5
8213759776,100,2.947477,loudernoise,0,75,112.5
8213759776,104,2.997685,xxwaterstar,15,75,112.5
8213759776,110,2.999086,analdripageboy,7,75,112.5
8213759776,109.01,2.999699,cooljen007,103,75,112.5
8213759776,112.5,2.999815,cooljen007,103,75,112.5
8213922989,70.52,0.027373,boomer-sooners,61,0.95,93
8213922989,20,0.086516,garcia1711,41,0.95,93
8213922989,25,0.086655,garcia1711,41,0.95,93
8213922989,38,0.571227,tryko000,127,0.95,93
8213922989,41,0.776227,parkerindy0521,3,0.95,93
8213922989,45,0.776296,parkerindy0521,3,0.95,93
8213922989,50,0.776377,parkerindy0521,3,0.95,93
8213922989,52,1.10015,grammy5n2000,13,0.95,93
8213922989,54,1.100301,grammy5n2000,13,0.95,93
8213922989,65,1.10044,grammy5n2000,13,0.95,93
8213922989,75,1.100602,grammy5n2000,13,0.95,93
8213922989,80,2.269109,jonchavez1,4,0.95,93
8213922989,77,2.458229,,2,0.95,93
8213922989,80,2.458403,,2,0.95,93
8213922989,90,2.458623,,2,0.95,93
8213922989,85,2.888079,nicolo136,4,0.95,93
8213922989,88,2.888275,nicolo136,4,0.95,93
8213922989,92,2.889259,nicolo136,4,0.95,93
8213922989,93,2.971597,,2,0.95,93
8213932495,100,1.848924,kimconner2003,8,100,127.5
8213932495,111,2.945023,bensco,1494,100,127.5
8213932495,105,2.991725,kimconner2003,8,100,127.5
8213932495,110,2.991875,kimconner2003,8,100,127.5
8213932495,113.5,2.992002,kimconner2003,8,100,127.5
8213932495,116,2.996019,sdesanchez,0,100,127.5
8213932495,120,2.999549,sdesanchez,0,100,127.5
8213932495,127.5,2.99963,agrlock,1,100,127.5
8213932495,125,2.999792,sdesanchez,0,100,127.5
8213935134,20,0.799213,arlysanhawk,9,0.1,207.5
8213935134,1,0.83419,isai505,1,0.1,207.5
8213935134,5,0.837257,isai505,1,0.1,207.5
8213935134,10,1.018333,bluebubbles_1,26,0.1,207.5
8213935134,15,1.01838,bluebubbles_1,26,0.1,207.5
8213935134,22.01,1.018438,bluebubbles_1,26,0.1,207.5
8213935134,55,1.153345,drew6330,19,0.1,207.5
8213935134,50,1.307049,keipnasty,11,0.1,207.5
8213935134,60,1.307222,keipnasty,11,0.1,207.5
8213935134,105.51,1.639387,txmp,28,0.1,207.5
8213935134,200,2.192153,lathings,3,0.1,207.5
8213935134,200,2.769097,toby2492,0,0.1,207.5
8213935134,202.5,2.770671,toby2492,0,0.1,207.5
8213935134,205,2.970162,c1hantal,0,0.1,207.5
8213935134,207.5,2.983542,toby2492,0,0.1,207.5
8213956836,90,0.212882,mapapuck,2,80,128.5
8213956836,81,1.925162,manions1003,2,80,128.5
8213956836,89,1.925602,manions1003,2,80,128.5
8213956836,99,2.352593,manions1003,2,80,128.5
8213956836,120,2.653322,darth_guaca,30,80,128.5
8213956836,110,2.852859,manions1003,2,80,128.5
8213956836,128.5,2.853275,manions1003,2,80,128.5
8213956836,126,2.854676,darth_guaca,30,80,128.5
8214364171,0.02,0.013437,juggalet2085,0,0.01,86
8214364171,45,0.071829,chubakak,2,0.01,86
8214364171,10.27,0.108958,animal_lover_lts,65,0.01,86
8214364171,17.77,0.109259,animal_lover_lts,65,0.01,86
8214364171,65,0.851377,mattdc1248,3,0.01,86
8214364171,50,1.196551,chubakak,2,0.01,86
8214364171,52,2.0525,boris7809,0,0.01,86
8214364171,54,2.680995,8961roy,0,0.01,86
8214364171,60,2.681273,8961roy,0,0.01,86
8214364171,65,2.68147,8961roy,0,0.01,86
8214364171,70,2.68169,8961roy,0,0.01,86
8214364171,85,2.686539,mattdc1248,3,0.01,86
8214364171,75,2.729583,8961roy,0,0.01,86
8214364171,80,2.729826,8961roy,0,0.01,86
8214364171,85,2.981181,susanagovernors05,0,0.01,86
8214364171,86,2.981319,susanagovernors05,0,0.01,86
8214378351,75.75,0.242211,msu_cat,2,29.99,127.5
8214378351,30.99,1.027338,booboopupdog,0,29.99,127.5
8214378351,35,1.147975,lecmgc,0,29.99,127.5
8214378351,38,1.19816,marioc55,0,29.99,127.5
8214378351,42,1.198692,marioc55,0,29.99,127.5
8214378351,46,1.199051,marioc55,0,29.99,127.5
8214378351,49,1.847731,marioc55,0,29.99,127.5
8214378351,55,1.883773,mackynen123,0,29.99,127.5
8214378351,70,2.004178,2005winstonc,0,29.99,127.5
8214378351,90,2.004572,2005winstonc,0,29.99,127.5
8214378351,91,2.006736,2005winstonc,0,29.99,127.5
8214378351,92,2.68794,2005winstonc,0,29.99,127.5
8214378351,77.75,2.970741,nemesys0,0,29.99,127.5
8214378351,80,2.970984,nemesys0,0,29.99,127.5
8214378351,82,2.978738,nemesys0,0,29.99,127.5
8214378351,94,2.981725,2005winstonc,0,29.99,127.5
8214378351,84,2.991863,tmmatzil,6,29.99,127.5
8214378351,90,2.997326,tmmatzil,6,29.99,127.5
8214378351,105.17,2.998287,sokr_mom,24,29.99,127.5
8214378351,102.52,2.998484,alyreza7786,1,29.99,127.5
8214378351,111.53,2.998634,alyreza7786,1,29.99,127.5
8214378351,115,2.998866,jahsoldier14,0,29.99,127.5
8214378351,121.25,2.999051,alyreza7786,1,29.99,127.5
8214378351,120,2.999514,jahsoldier14,0,29.99,127.5
8214378351,125,2.999687,jahsoldier14,0,29.99,127.5
8214378351,127.5,2.999826,alyreza7786,1,29.99,127.5
8214418083,75,2.645984,einszwei,28,75,140.5
8214418083,85,2.749931,edintpa,1,75,140.5
8214418083,88,2.841169,locell08,29,75,140.5
8214418083,106.81,2.851447,einszwei,28,75,140.5
8214418083,99.5,2.911146,otis_p_driftwood,24,75,140.5
8214418083,120,2.958079,dawnbstew,20,75,140.5
8214418083,119.81,2.963681,einszwei,28,75,140.5
8214418083,138,2.984931,drigs69,26,75,140.5
8214418083,125,2.989884,einszwei,28,75,140.5
8214418083,131,2.990822,einszwei,28,75,140.5
8214418083,136,2.991262,einszwei,28,75,140.5
8214418083,140.5,2.998067,jkfarms1,68,75,140.5
8214430396,50,0.090417,icemogila,0,9.99,199
8214430396,15.99,0.299699,lilplayer50,0,9.99,199
8214430396,19,0.299907,lilplayer50,0,9.99,199
8214430396,25,0.300104,lilplayer50,0,9.99,199
8214430396,39,0.300313,lilplayer50,0,9.99,199
8214430396,49,0.301458,lilplayer50,0,9.99,199
8214430396,120,0.948241,kermitthefrock,4,9.99,199
8214430396,110,1.08566,icemogila,0,9.99,199
8214430396,115,1.875891,luigi5641,0,9.99,199
8214430396,120,1.876181,luigi5641,0,9.99,199
8214430396,125,1.876308,luigi5641,0,9.99,199
8214430396,126,1.876493,luigi5641,0,9.99,199
8214430396,130,1.876713,luigi5641,0,9.99,199
8214430396,130,2.038414,michaeljoryan,2,9.99,199
8214430396,135,2.038669,michaeljoryan,2,9.99,199
8214430396,138,2.454225,michaeljoryan,2,9.99,199
8214430396,140,2.45434,michaeljoryan,2,9.99,199
8214430396,145,2.455833,michaeljoryan,2,9.99,199
8214430396,150,2.455961,michaeljoryan,2,9.99,199
8214430396,155,2.4561,michaeljoryan,2,9.99,199
8214430396,183,2.607882,kermitthefrock,4,9.99,199
8214430396,160,2.62235,aglovale,18,9.99,199
8214430396,165,2.622558,aglovale,18,9.99,199
8214430396,175,2.634375,jokertc,8,9.99,199
8214430396,180,2.635255,jokertc,8,9.99,199
8214430396,199,2.990463,volpendesta,4,9.99,199
8214435010,20,0.143461,vip-vintage,5,0.99,122.5
8214435010,1.04,0.440567,mjnj11,22,0.99,122.5
8214435010,2,0.508773,memo0885,2,0.99,122.5
8214435010,3,0.508935,memo0885,2,0.99,122.5
8214435010,5,0.509063,memo0885,2,0.99,122.5
8214435010,6,0.515868,4687daisy,2,0.99,122.5
8214435010,7,0.515961,4687daisy,2,0.99,122.5
8214435010,8,0.51603,4687daisy,2,0.99,122.5
8214435010,9,0.516088,4687daisy,2,0.99,122.5
8214435010,10,0.516215,4687daisy,2,0.99,122.5
8214435010,11,0.516319,4687daisy,2,0.99,122.5
8214435010,12,0.5164,4687daisy,2,0.99,122.5
8214435010,13,0.516493,4687daisy,2,0.99,122.5
8214435010,14,0.516655,4687daisy,2,0.99,122.5
8214435010,15,0.516794,4687daisy,2,0.99,122.5
8214435010,16,0.516863,4687daisy,2,0.99,122.5
8214435010,17,0.516956,4687daisy,2,0.99,122.5
8214435010,18,0.517106,4687daisy,2,0.99,122.5
8214435010,19,0.517211,4687daisy,2,0.99,122.5
8214435010,20,0.51735,4687daisy,2,0.99,122.5
8214435010,40,0.600081,zkob44,0,0.99,122.5
8214435010,21,0.895891,stephr05,1,0.99,122.5
8214435010,40,1.062558,pnguyen_01,5,0.99,122.5
8214435010,92,1.283947,pgauctions,13,0.99,122.5
8214435010,44,1.421412,donytivs,0,0.99,122.5
8214435010,78,1.455324,snazzyvcd,5,0.99,122.5
8214435010,85,1.4561,snazzyvcd,5,0.99,122.5
8214435010,87,2.497755,513olivia,48,0.99,122.5
8214435010,89,2.667106,peakwrestling,0,0.99,122.5
8214435010,105,2.822998,chrisdodo,22,0.99,122.5
8214435010,117.17,2.828009,chrisdodo,22,0.99,122.5
8214435010,108.81,2.895741,einszwei,28,0.99,122.5
8214435010,120,2.995139,edealer2k,25,0.99,122.5
8214435010,122.5,2.997593,kiflayghiorghis,4,0.99,122.5
8214435010,122.5,2.998542,kiflayghiorghis,4,0.99,122.5
8214435808,122.5,2.87375,darkaglmax84,4,110,122.5
8214435808,120,2.961817,elai2005,26,110,122.5
8215408023,0.99,0.009178,drfeelgood_2k5,0,0.99,91.01
8215408023,10.5,0.009931,bobrainey0,6,0.99,91.01
8215408023,2,0.015023,drfeelgood_2k5,0,0.99,91.01
8215408023,2.5,0.015231,drfeelgood_2k5,0,0.99,91.01
8215408023,4,0.01537,drfeelgood_2k5,0,0.99,91.01
8215408023,5,0.015521,drfeelgood_2k5,0,0.99,91.01
8215408023,6.5,0.015718,drfeelgood_2k5,0,0.99,91.01
8215408023,9,0.015938,drfeelgood_2k5,0,0.99,91.01
8215408023,15.5,0.016007,bobrainey0,6,0.99,91.01
8215408023,20.5,0.016505,bobrainey0,6,0.99,91.01
8215408023,27.5,0.059352,tobytoy88,25,0.99,91.01
8215408023,25,0.545729,bobrainey0,6,0.99,91.01
8215408023,50,1.075359,goodtrojan,8,0.99,91.01
8215408023,30,1.739572,bigreggie101,0,0.99,91.01
8215408023,40,1.739826,bigreggie101,0,0.99,91.01
8215408023,70,1.740185,bigreggie101,0,0.99,91.01
8215408023,60.11,1.981551,nelsonhummer3000,2,0.99,91.01
8215408023,63,2.001285,nelsonhummer3000,2,0.99,91.01
8215408023,70.01,2.046435,kevinb2999,8,0.99,91.01
8215408023,86.21,2.450822,kevinb2999,8,0.99,91.01
8215408023,73,2.907836,cbgateway,3,0.99,91.01
8215408023,85,2.938657,rjdorman,1,0.99,91.01
8215408023,87,2.950475,simon24152005,0,0.99,91.01
8215408023,88,2.950856,simon24152005,0,0.99,91.01
8215408023,90.01,2.976146,kevinb2999,8,0.99,91.01
8215408023,90,2.990486,sailer4eva,1,0.99,91.01
8215408023,91.01,2.99059,sailer4eva,1,0.99,91.01
8215408023,91.01,2.990741,sailer4eva,1,0.99,91.01
8215558653,60,0.999421,janmarty15,1,55,135.29
8215558653,56.75,1.15338,shellyw1116,0,55,135.29
8215558653,70.01,1.330567,kevinb2999,8,55,135.29
8215558653,75,1.403461,keipnasty,11,55,135.29
8215558653,75.08,1.76831,kevinb2999,8,55,135.29
8215558653,80,2.467593,keipnasty,11,55,135.29
8215558653,77.2,2.728009,andreduk18,0,55,135.29
8215558653,85,2.819919,hounganatlarge,39,55,135.29
8215558653,90,2.837986,gorski630,0,55,135.29
8215558653,125,2.9425,bethj1958,7,55,135.29
8215558653,135,2.943032,bethj1958,7,55,135.29
8215558653,115.29,2.999549,wattscrew1,8,55,135.29
8215558653,121.29,2.999676,wattscrew1,8,55,135.29
8215558653,135.29,2.999815,wattscrew1,8,55,135.29
8215571039,50,0.97816,farenhyte,5,50,150
8215571039,51,1.337153,lambonius1,0,50,150
8215571039,60,1.339259,lambonius1,0,50,150
8215571039,75,1.340312,lambonius1,0,50,150
8215571039,70,1.902569,jjmf2112,1,50,150
8215571039,80,1.902882,jjmf2112,1,50,150
8215571039,85,1.965035,lambonius1,0,50,150
8215571039,100,1.965463,lambonius1,0,50,150
8215571039,85.5,1.977523,farenhyte,5,50,150
8215571039,100,2.159039,analogkidd99,0,50,150
8215571039,120,2.15934,analogkidd99,0,50,150
8215571039,105,2.221863,lambonius1,0,50,150
8215571039,110,2.22213,lambonius1,0,50,150
8215571039,120,2.222407,lambonius1,0,50,150
